Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
983	9.5e-002	-2.5e-002	0.	0.
984	9.7e-002	-2.5e-002	0.	0.
985	9.9e-002	-2.5e-002	0.	0.
986	0.101	-2.5e-002	0.	0.
987	0.103	-2.5e-002	0.	0.
988	0.105	-2.5e-002	0.	0.
989	0.107	-2.5e-002	0.	0.
990	0.109	-2.5e-002	0.	0.
991	0.111	-2.5e-002	0.	0.
992	0.113	-2.5e-002	0.	0.
993	0.115	-2.5e-002	0.	0.
994	0.117	-2.5e-002	0.	0.
995	0.119	-2.5e-002	0.	0.
996	0.121	-2.5e-002	0.	0.
997	0.123	-2.5e-002	0.	0.
998	0.125	-2.5e-002	0.	0.
999	0.127	-2.5e-002	0.	0.
1000	0.129	-2.5e-002	0.	0.
1001	0.131	-2.5e-002	0.	0.
1002	0.133	-2.5e-002	0.	0.
1003	0.135	-2.5e-002	0.	0.
1004	0.137	-2.5e-002	0.	0.
1005	0.139	-2.5e-002	0.	0.
1006	0.141	-2.5e-002	0.	0.
1007	0.143	-2.5e-002	0.	0.
1008	0.145	-2.5e-002	0.	0.
1009	0.147	-2.5e-002	0.	0.
1010	0.149	-2.5e-002	0.	0.
1011	0.151	-2.5e-002	0.	0.
1012	0.153	-2.5e-002	0.	0.
1013	0.155	-2.5e-002	0.	0.
1014	0.157	-2.5e-002	0.	0.
1015	0.159	-2.5e-002	0.	0.
1016	0.161	-2.5e-002	0.	0.
1017	0.163	-2.5e-002	0.	0.
1018	0.165	-2.5e-002	0.	0.
1019	0.167	-2.5e-002	0.	0.
1020	0.169	-2.5e-002	0.	0.
1021	0.171	-2.5e-002	0.	0.
1022	0.173	-2.5e-002	0.	0.
1023	0.175	-2.5e-002	0.	0.
1024	0.177	-2.5e-002	0.	0.
1025	0.179	-2.5e-002	0.	0.
1026	0.181	-2.5e-002	0.	0.
1027	0.183	-2.5e-002	0.	0.
1028	0.185	-2.5e-002	0.	0.
1029	0.187	-2.5e-002	0.	0.
1030	0.189	-2.5e-002	0.	0.
1031	0.191	-2.5e-002	0.	0.
1032	0.193	-2.5e-002	0.	0.
1033	0.195	-2.5e-002	0.	0.
1034	0.197	-2.5e-002	0.	0.
1035	0.199	-2.5e-002	0.	0.
1036	0.201	-2.5e-002	0.	0.
1037	0.203	-2.5e-002	0.	0.
1038	0.205	-2.5e-002	0.	0.
1039	0.207	-2.5e-002	0.	0.
1040	0.209	-2.5e-002	0.	0.
1041	0.211	-2.5e-002	0.	0.
1042	0.213	-2.5e-002	0.	0.
1043	0.215	-2.5e-002	0.	0.
1044	0.217	-2.5e-002	0.	0.
1045	0.219	-2.5e-002	0.	0.
1046	0.221	-2.5e-002	0.	0.
1047	0.223	-2.5e-002	0.	0.
1048	0.225	-2.5e-002	0.	0.
1049	0.227	-2.5e-002	0.	0.
1050	0.229	-2.5e-002	0.	0.
1051	0.231	-2.5e-002	0.	0.
1052	0.233	-2.5e-002	0.	0.
1053	0.235	-2.5e-002	0.	0.
1054	0.237	-2.5e-002	0.	0.
1055	0.239	-2.5e-002	0.	0.
1056	0.241	-2.5e-002	0.	0.
1057	0.243	-2.5e-002	0.	0.
1058	0.245	-2.5e-002	0.	0.
1059	0.247	-2.5e-002	0.	0.
1060	0.249	-2.5e-002	0.	0.
1061	0.251	-2.5e-002	0.	0.
1062	0.253	-2.5e-002	0.	0.
1063	0.255	-2.5e-002	0.	0.
1064	0.257	-2.5e-002	0.	0.
1065	0.259	-2.5e-002	0.	0.
1066	0.261	-2.5e-002	0.	0.
1067	0.263	-2.5e-002	0.	0.
1068	0.265	-2.5e-002	0.	0.
1069	0.267	-2.5e-002	0.	0.
1070	0.269	-2.5e-002	0.	0.
1071	0.271	-2.5e-002	0.	0.
1072	0.273	-2.5e-002	0.	0.
1073	0.275	-2.5e-002	0.	0.
1074	0.277	-2.5e-002	0.	0.
1075	0.279	-2.5e-002	0.	0.
1076	0.281	-2.5e-002	0.	0.
1077	0.283	-2.5e-002	0.	0.
1078	0.285	-2.5e-002	0.	0.
1079	0.287	-2.5e-002	0.	0.
1080	0.289	-2.5e-002	0.	0.
1081	0.291	-2.5e-002	0.	0.
1082	0.293	-2.5e-002	0.	0.
1083	0.295	-2.5e-002	0.	0.
1084	0.297	-2.5e-002	0.	0.
1085	0.299	-2.5e-002	0.	0.
1086	0.301	-2.5e-002	0.	0.
1087	0.303	-2.5e-002	0.	0.
1088	0.305	-2.5e-002	0.	0.
1089	0.307	-2.5e-002	0.	0.
1090	0.309	-2.5e-002	0.	0.
1091	0.311	-2.5e-002	0.	0.
1092	0.313	-2.5e-002	0.	0.
1093	0.315	-2.5e-002	0.	0.
1094	0.317	-2.5e-002	0.	0.
1095	0.319	-2.5e-002	0.	0.
1096	0.321	-2.5e-002	0.	0.
1097	0.323	-2.5e-002	0.	0.
1098	0.325	-2.5e-002	0.	0.
1099	0.327	-2.5e-002	0.	0.
1100	0.329	-2.5e-002	0.	0.
1101	0.331	-2.5e-002	0.	0.
1102	0.333	-2.5e-002	0.	0.
1103	0.335	-2.5e-002	0.	0.
1104	0.337	-2.5e-002	0.	0.
1105	0.339	-2.5e-002	0.	0.
1106	0.341	-2.5e-002	0.	0.
1107	0.343	-2.5e-002	0.	0.
1108	0.345	-2.5e-002	0.	0.
1109	0.347	-2.5e-002	0.	0.
1110	0.349	-2.5e-002	0.	0.
1111	0.351	-2.5e-002	0.	0.
1112	0.353	-2.5e-002	0.	0.
1113	0.355	-2.5e-002	0.	0.
1114	0.357	-2.5e-002	0.	0.
1115	0.359	-2.5e-002	0.	0.
1116	0.361	-2.5e-002	0.	0.
1117	0.363	-2.5e-002	0.	0.
1118	0.365	-2.5e-002	0.	0.
1119	0.367	-2.5e-002	0.	0.
1120	0.369	-2.5e-002	0.	0.
1121	0.371	-2.5e-002	0.	0.
1122	0.373	-2.5e-002	0.	0.
1123	0.375	-2.5e-002	0.	0.
1124	0.377	-2.5e-002	0.	0.
1125	0.379	-2.5e-002	0.	0.
1126	0.381	-2.5e-002	0.	0.
1127	0.383	-2.5e-002	0.	0.
1128	0.385	-2.5e-002	0.	0.
1129	0.387	-2.5e-002	0.	0.
1130	0.389	-2.5e-002	0.	0.
1131	0.391	-2.5e-002	0.	0.
1132	0.393	-2.5e-002	0.	0.
1133	0.395	-2.5e-002	0.	0.
1134	0.397	-2.5e-002	0.	0.
1135	0.399	-2.5e-002	0.	0.
1136	0.401	-2.5e-002	0.	0.
1137	0.403	-2.5e-002	0.	0.
1138	0.405	-2.5e-002	0.	0.
1139	0.407	-2.5e-002	0.	0.
1140	0.409	-2.5e-002	0.	0.
1141	0.411	-2.5e-002	0.	0.
1142	0.413	-2.5e-002	0.	0.
1143	0.415	-2.5e-002	0.	0.
1144	0.417	-2.5e-002	0.	0.
1145	0.419	-2.5e-002	0.	0.
1146	0.421	-2.5e-002	0.	0.
1147	0.423	-2.5e-002	0.	0.
1155	-0.425	2.5e-002	0.	0.
1193	-0.425	2.3e-002	0.	0.
1194	-0.425	2.1e-002	0.	0.
1195	-0.425	1.9e-002	0.	0.
1196	-0.425	1.7e-002	0.	0.
1197	-0.425	1.5e-002	0.	0.
1198	-0.425	1.3e-002	0.	0.
1199	-0.425	1.1e-002	0.	0.
1200	-0.425	9.e-003	0.	0.
1201	-0.425	7.e-003	0.	0.
1202	-0.425	5.e-003	0.	0.
1203	-0.425	3.e-003	0.	0.
1204	-0.425	1.e-003	0.	0.
1205	-0.425	-1.e-003	0.	0.
1206	-0.425	-3.e-003	0.	0.
1207	-0.425	-5.e-003	0.	0.
1208	-0.425	-7.e-003	0.	0.
1209	-0.425	-9.e-003	0.	0.
1210	-0.425	-1.1e-002	0.	0.
1211	-0.425	-1.3e-002	0.	0.
1212	-0.425	-1.5e-002	0.	0.
1213	-0.425	-1.7e-002	0.	0.
1214	-0.425	-1.9e-002	0.	0.
1215	-0.425	-2.1e-002	0.	0.
1216	-0.425	-2.3e-002	0.	0.
1217	0.423	2.5e-002	0.	0.
1218	0.421	2.5e-002	0.	0.
1219	0.419	2.5e-002	0.	0.
1220	0.417	2.5e-002	0.	0.
1221	0.415	2.5e-002	0.	0.
1222	0.413	2.5e-002	0.	0.
1223	0.411	2.5e-002	0.	0.
1224	0.409	2.5e-002	0.	0.
1225	0.407	2.5e-002	0.	0.
1226	0.405	2.5e-002	0.	0.
1227	0.403	2.5e-002	0.	0.
1228	0.401	2.5e-002	0.	0.
1229	0.399	2.5e-002	0.	0.
1230	0.397	2.5e-002	0.	0.
1231	0.395	2.5e-002	0.	0.
1232	0.393	2.5e-002	0.	0.
1233	0.391	2.5e-002	0.	0.
1234	0.389	2.5e-002	0.	0.
1235	0.387	2.5e-002	0.	0.
1236	0.385	2.5e-002	0.	0.
1237	0.383	2.5e-002	0.	0.
1238	0.381	2.5e-002	0.	0.
1239	0.379	2.5e-002	0.	0.
1240	0.377	2.5e-002	0.	0.
1241	0.375	2.5e-002	0.	0.
1242	0.373	2.5e-002	0.	0.
1243	0.371	2.5e-002	0.	0.
1244	0.369	2.5e-002	0.	0.
1245	0.367	2.5e-002	0.	0.
1246	0.365	2.5e-002	0.	0.
1247	0.363	2.5e-002	0.	0.
1248	0.361	2.5e-002	0.	0.
1249	0.359	2.5e-002	0.	0.
1250	0.357	2.5e-002	0.	0.
1251	0.355	2.5e-002	0.	0.
1252	0.353	2.5e-002	0.	0.
1253	0.351	2.5e-002	0.	0.
1254	0.349	2.5e-002	0.	0.
1255	0.347	2.5e-002	0.	0.
1256	0.345	2.5e-002	0.	0.
1257	0.343	2.5e-002	0.	0.
1258	0.341	2.5e-002	0.	0.
1259	0.339	2.5e-002	0.	0.
1260	0.337	2.5e-002	0.	0.
1261	0.335	2.5e-002	0.	0.
1262	0.333	2.5e-002	0.	0.
1263	0.331	2.5e-002	0.	0.
1264	0.329	2.5e-002	0.	0.
1265	0.327	2.5e-002	0.	0.
1266	0.325	2.5e-002	0.	0.
1267	0.323	2.5e-002	0.	0.
1268	0.321	2.5e-002	0.	0.
1269	0.319	2.5e-002	0.	0.
1270	0.317	2.5e-002	0.	0.
1271	0.315	2.5e-002	0.	0.
1272	0.313	2.5e-002	0.	0.
1273	0.311	2.5e-002	0.	0.
1274	0.309	2.5e-002	0.	0.
1275	0.307	2.5e-002	0.	0.
1276	0.305	2.5e-002	0.	0.
1277	0.303	2.5e-002	0.	0.
1278	0.301	2.5e-002	0.	0.
1279	0.299	2.5e-002	0.	0.
1280	0.297	2.5e-002	0.	0.
1281	0.295	2.5e-002	0.	0.
