Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
800	8.2e-002	-6.e-003	0.	5.1171e-010
801	8.1e-002	-6.e-003	0.	5.1316e-010
802	8.e-002	-6.e-003	0.	5.1462e-010
803	7.9e-002	-6.e-003	0.	5.1608e-010
804	7.8e-002	-6.e-003	0.	5.1755e-010
805	7.7e-002	-6.e-003	0.	5.1903e-010
806	7.6e-002	-6.e-003	0.	5.2053e-010
807	7.5e-002	-6.e-003	0.	5.2204e-010
808	7.4e-002	-6.e-003	0.	5.2357e-010
809	7.3e-002	-6.e-003	0.	5.2513e-010
810	7.2e-002	-6.e-003	0.	5.2673e-010
811	7.1e-002	-6.e-003	0.	5.2835e-010
812	7.e-002	-6.e-003	0.	5.3003e-010
813	6.9e-002	-6.e-003	0.	5.3177e-010
814	6.8e-002	-6.e-003	0.	5.3358e-010
815	6.7e-002	-6.e-003	0.	5.3546e-010
816	6.6e-002	-6.e-003	0.	5.3745e-010
817	6.5e-002	-6.e-003	0.	5.3959e-010
818	6.4e-002	-6.e-003	0.	5.4191e-010
819	6.3e-002	-6.e-003	0.	5.4445e-010
820	6.2e-002	-6.e-003	0.	5.4732e-010
821	6.1e-002	-6.e-003	0.	5.5057e-010
822	6.e-002	-6.e-003	0.	5.5437e-010
823	5.9e-002	-6.e-003	0.	5.5889e-010
824	5.8e-002	-6.e-003	0.	5.6424e-010
825	5.7e-002	-6.e-003	0.	5.6973e-010
826	5.6e-002	-6.e-003	0.	5.7476e-010
827	5.5e-002	-6.e-003	0.	5.795e-010
828	5.4e-002	-6.e-003	0.	5.8354e-010
829	5.3e-002	-6.e-003	0.	5.8758e-010
830	5.2e-002	-6.e-003	0.	5.9141e-010
831	5.1e-002	-6.e-003	0.	5.9502e-010
832	5.e-002	-6.e-003	0.	5.9859e-010
833	4.9e-002	-6.e-003	0.	6.0201e-010
834	4.8e-002	-6.e-003	0.	6.0527e-010
835	4.7e-002	-6.e-003	0.	6.0838e-010
836	4.6e-002	-6.e-003	0.	6.1136e-010
837	4.5e-002	-6.e-003	0.	6.1423e-010
838	4.4e-002	-6.e-003	0.	6.17e-010
839	4.3e-002	-6.e-003	0.	6.1967e-010
840	4.2e-002	-6.e-003	0.	6.2226e-010
841	4.1e-002	-6.e-003	0.	6.2476e-010
842	4.e-002	-6.e-003	0.	6.2715e-010
843	3.9e-002	-6.e-003	0.	6.2945e-010
844	3.8e-002	-6.e-003	0.	6.3166e-010
845	3.7e-002	-6.e-003	0.	6.3379e-010
846	3.6e-002	-6.e-003	0.	6.3582e-010
847	3.5e-002	-6.e-003	0.	6.3778e-010
848	3.4e-002	-6.e-003	0.	6.3965e-010
849	3.3e-002	-6.e-003	0.	6.4144e-010
850	3.2e-002	-6.e-003	0.	6.4316e-010
851	3.1e-002	-6.e-003	0.	6.448e-010
852	3.e-002	-6.e-003	0.	6.4636e-010
853	2.9e-002	-6.e-003	0.	6.4784e-010
854	2.8e-002	-6.e-003	0.	6.4926e-010
855	2.7e-002	-6.e-003	0.	6.506e-010
856	2.6e-002	-6.e-003	0.	6.5189e-010
857	2.5e-002	-6.e-003	0.	6.5311e-010
858	2.4e-002	-6.e-003	0.	6.5426e-010
859	2.3e-002	-6.e-003	0.	6.5535e-010
860	2.2e-002	-6.e-003	0.	6.5638e-010
861	2.1e-002	-6.e-003	0.	6.5736e-010
862	2.e-002	-6.e-003	0.	6.5827e-010
863	1.9e-002	-6.e-003	0.	6.5914e-010
864	1.8e-002	-6.e-003	0.	6.5994e-010
865	1.7e-002	-6.e-003	0.	6.607e-010
866	1.6e-002	-6.e-003	0.	6.614e-010
867	1.5e-002	-6.e-003	0.	6.6206e-010
868	1.4e-002	-6.e-003	0.	6.6266e-010
869	1.3e-002	-6.e-003	0.	6.6322e-010
870	1.2e-002	-6.e-003	0.	6.6373e-010
871	1.1e-002	-6.e-003	0.	6.642e-010
872	1.e-002	-6.e-003	0.	6.6462e-010
873	9.e-003	-6.e-003	0.	6.65e-010
874	8.e-003	-6.e-003	0.	6.6533e-010
